date,regime,prob_regime_0,prob_regime_1,prob_regime_2
2014-05-01,2,2.471404944528317e-37,4.9260102633815794e-20,1.0
2014-06-01,2,4.9471765607430596e-39,4.600951180658088e-19,1.0
2014-07-01,2,6.460920467522768e-39,3.2909305037767546e-21,1.0
2014-08-01,2,8.652438390841396e-37,1.664692115004123e-16,1.0
2014-09-01,2,1.3386505278603781e-27,3.960114030933864e-18,1.0
2014-10-01,2,8.018675741253059e-32,1.6692543579321188e-13,0.9999999999997726
2014-11-01,2,4.245303724691332e-41,6.705890657819882e-17,1.0
2014-12-01,2,6.1249118784644866e-31,2.8525242678581204e-25,1.0
2015-01-01,2,6.103587931743256e-41,2.1286862728501424e-15,1.0
2015-02-01,2,1.3066669059429738e-38,2.153372122139164e-23,1.0
2015-03-01,2,8.491762383698668e-36,5.547226062834499e-20,1.0
2015-04-01,2,1.055039984374838e-37,1.6601425084631543e-16,1.0
2015-05-01,2,1.1382183885196119e-39,2.843263933151116e-19,1.0
2015-06-01,2,2.7336557396892575e-31,2.9571961551080932e-24,1.0
2015-07-01,2,1.419129725035525e-23,4.351516340541726e-19,1.0
2015-08-01,2,4.579302478329931e-24,1.8702835472700875e-15,1.0
2015-09-01,2,1.994351689043067e-21,1.7749494871859367e-13,0.9999999999997726
2015-10-01,2,5.001163778454326e-21,6.804914328664416e-12,0.9999999999931788
2015-11-01,2,3.139321223323391e-17,2.7117899674839274e-13,0.9999999999997726
2015-12-01,2,5.003264571635303e-13,1.0256890835816222e-18,0.9999999999995453
2016-01-01,2,1.0186864848382307e-07,1.5213237560107653e-06,0.9999983768077059
2016-02-01,1,5.827455738736841e-17,0.998302561561747,0.001697438438335199
2016-03-01,1,5.843315064230089e-17,0.9999999792564724,2.074345082195746e-08
2016-04-01,1,2.7654159266717824e-19,0.9999999998451585,1.5483044118784024e-10
2016-05-01,1,2.2052822204149895e-17,0.9999999983424459,1.657661042917231e-09
2016-06-01,1,2.581379695409093e-20,0.9999999999745341,2.548356869362407e-11
2016-07-01,1,1.2032551854803556e-21,0.9999999998822204,1.1783491417020986e-10
2016-08-01,1,7.475047675542777e-13,0.9999999279345982,7.206473905465081e-08
2016-09-01,1,1.0173944418589125e-17,0.9999999988801846,1.119814230112134e-09
2016-10-01,1,5.024083604789509e-11,0.9999989744754458,1.0254742339357738e-06
2016-11-01,0,0.9999999923006726,4.4835754151410675e-10,7.250943026288123e-09
2016-12-01,0,1.0,4.1178532501217145e-25,5.774760915551894e-14
2017-01-01,0,1.0,2.6087655761282593e-24,9.82722805832722e-17
2017-02-01,0,1.0,1.668581166778026e-27,6.64592693030496e-22
2017-03-01,0,1.0,7.266441290480072e-21,4.517981009398607e-29
2017-04-01,0,1.0,2.37437514923407e-15,8.448727095617548e-26
2017-05-01,0,1.0,5.0872982694826516e-15,6.886968386930641e-25
2017-06-01,0,1.0,6.910774623376074e-18,3.726168236766508e-22
2017-07-01,0,1.0,2.3245727694878676e-17,7.583210726457941e-30
2017-08-01,0,0.9999999999681677,3.175851052688496e-11,1.4254343344645902e-23
2017-09-01,0,1.0,6.746704271531059e-19,8.697621319431753e-15
2017-10-01,0,1.0,7.109232753574595e-17,1.4344909123009947e-19
2017-11-01,0,1.0,8.526272424740548e-23,1.239466127377519e-26
2017-12-01,0,1.0,1.6013872683883803e-23,3.2780688085874846e-33
2018-01-01,0,1.0,5.5526507663535186e-36,5.899717773569649e-37
2018-02-01,0,1.0,2.0930522576263595e-59,9.281509979020517e-52
2018-03-01,0,1.0,1.5536057426996393e-54,4.929065987913131e-62
2018-04-01,0,1.0,9.866176371459185e-57,6.560384589567609e-67
2018-05-01,0,1.0,9.998471137088521e-47,1.1684295135013504e-69
2018-06-01,0,1.0,7.84972696986613e-44,7.414258177956213e-58
2018-07-01,0,1.0,2.177146132456469e-41,2.2710181972796604e-48
2018-08-01,0,1.0,9.242820315525861e-38,6.0154208837174625e-52
2018-09-01,0,1.0,1.4678858021690036e-43,2.7422505033491025e-53
2018-10-01,0,1.0,1.9577475529000766e-46,3.407856920914174e-58
2018-11-01,0,1.0,1.0026398635030537e-49,1.3084553191870956e-60
2018-12-01,0,1.0,7.389287526853605e-43,8.306748699261655e-69
2019-01-01,0,1.0,9.212322926652361e-35,4.9016222547907134e-60
2019-02-01,0,1.0,3.63761626175001e-34,2.151431234481487e-53
2019-03-01,0,1.0,3.1328900726861446e-31,2.15698627626502e-48
2019-04-01,0,1.0,4.802739060401625e-25,1.3386043710472018e-42
2019-05-01,0,0.9999999999815827,1.8508146949385315e-11,1.7061441340483818e-29
2019-06-01,1,5.089389992820295e-05,0.9999491061000934,1.5580330191105682e-19
2019-07-01,1,3.744451327121022e-12,0.999999999996362,4.603882392947374e-15
2019-08-01,1,4.442567043253666e-16,0.9999999872336504,1.276641191499301e-08
2019-09-01,1,1.7071955834859918e-19,0.999999999070269,9.29777704142412e-10
2019-10-01,1,1.0137058329518392e-14,1.0,1.4821086334675627e-15
2019-11-01,1,2.5125851848018725e-14,1.0,2.246453618207334e-14
2019-12-01,1,5.78699541897047e-13,0.9999998375401579,1.6245915312225834e-07
2020-01-01,1,7.340354794532535e-21,0.9999999328917988,6.710819293363545e-08
2020-02-01,1,4.298513051322795e-28,0.9999999999995453,5.163671968011056e-13
2020-03-01,1,9.09691762935068e-24,1.0,6.958004944221028e-18
2020-04-01,1,1.5694214817775455e-22,1.0,3.1266327100540426e-19
2020-05-01,1,5.533884439516513e-20,1.0,4.550872349451984e-19
2020-06-01,1,1.22425148339054e-21,1.0,1.8921589020745552e-15
2020-07-01,1,6.326072180239353e-27,1.0,2.0154138803609985e-17
2020-08-01,1,1.3214498601439165e-24,1.0,1.8337890668865699e-16
2020-09-01,1,1.0529196170403378e-20,1.0,2.80568476760671e-15
2020-10-01,1,6.603276854245654e-20,1.0,2.11393517586954e-16
2020-11-01,1,2.377432316974918e-16,1.0,8.255740611300193e-21
2020-12-01,1,4.758465141119117e-16,1.0,8.324829840055049e-22
2021-01-01,1,1.8743551893523838e-16,1.0,5.1739959202928135e-19
2021-02-01,1,1.9053668071015932e-19,0.9999999999815827,1.846755652635043e-11
2021-03-01,2,1.4965577225297647e-25,1.2909622658627954e-06,0.9999987090376783
2021-04-01,2,9.739348840886337e-19,9.245281767937042e-16,1.0
2021-05-01,2,2.5316634420238246e-20,5.480821439437774e-10,0.9999999994520294
2021-06-01,2,1.1463971338397399e-24,7.464756513383526e-10,0.9999999992535322
2021-07-01,2,3.021252252373212e-28,9.795072303129717e-13,0.9999999999990905
2021-08-01,2,1.6375822104410612e-31,1.1405696872289115e-14,1.0
2021-09-01,2,1.3978960353389778e-31,1.107569531647604e-12,0.9999999999988631
2021-10-01,2,1.421205585109262e-32,1.432871393070046e-14,1.0
2021-11-01,2,5.514820662610775e-27,4.2146335073871493e-16,1.0
2021-12-01,2,8.256628252180368e-20,8.88423318942932e-16,1.0
2022-01-01,2,6.002583264810268e-09,1.7815320479422346e-20,0.999999993997335
2022-02-01,2,0.0008815908808710348,8.537616814841713e-23,0.9991184091191989
2022-03-01,0,0.9625185222756631,2.6057188108662777e-25,0.03748147772444866
2022-04-01,0,0.9999999999711235,1.2120413623060554e-45,2.892492313310512e-11
2022-05-01,0,1.0,9.462245515746497e-57,8.483590454816998e-23
2022-06-01,0,1.0,1.4528850193628107e-62,8.215060661308499e-43
2022-07-01,0,1.0,5.548752138887887e-50,6.217720074848062e-54
2022-08-01,0,1.0,1.4373198203334777e-43,8.562082123971888e-63
2022-09-01,0,1.0,3.7816039151541585e-56,5.086673210924027e-62
2022-10-01,0,1.0,1.0372503733814563e-56,1.0406517934902054e-72
2022-11-01,0,1.0,3.929267059066676e-50,4.5378339012357725e-73
2022-12-01,0,1.0,3.689371458411252e-46,3.083353178599076e-68
2023-01-01,0,1.0,1.4308557540800606e-43,3.9765986943448824e-57
2023-02-01,0,1.0,4.4560727311530744e-46,1.0783298943490823e-53
2023-03-01,0,1.0,8.290260440361367e-49,4.131972008137887e-57
2023-04-01,0,1.0,2.437406004369027e-41,3.057978468543416e-55
2023-05-01,0,1.0,6.533313496955845e-41,3.1385072376342117e-47
2023-06-01,0,1.0,8.18402456229716e-49,9.039459506623266e-49
2023-07-01,0,1.0,1.6521811445949212e-51,3.6505237607345537e-56
2023-08-01,0,1.0,7.532646888403287e-47,1.2707318636579121e-58
2023-09-01,0,1.0,5.361771787018143e-47,2.495932402079484e-54
2023-10-01,0,1.0,1.3620950117696438e-49,2.492362262107869e-54
2023-11-01,0,1.0,1.1277722764562392e-39,1.103951512394941e-57
2023-12-01,0,1.0,6.620571744749134e-35,3.636712331342771e-46
2024-01-01,0,1.0,4.148685203243992e-35,1.7038510199329625e-43
2024-02-01,0,1.0,1.5959581023269784e-34,3.487042267133363e-44
2024-03-01,0,1.0,3.4930216698540717e-32,5.780615430673766e-44
2024-04-01,0,1.0,5.1154946802473664e-40,4.199893840292379e-46
2024-05-01,0,1.0,8.977831614167225e-38,1.1018542805668939e-51
2024-06-01,0,1.0,1.4402780913896633e-30,1.2234697771842562e-49
2024-07-01,0,1.0,8.736086865591145e-33,1.9813572859294977e-42
2024-08-01,0,1.0,6.967255432500355e-21,1.3262091234322884e-43
2024-09-01,0,1.0,3.509768555647475e-21,1.112693483082748e-34
2024-10-01,0,1.0,1.9404585101597577e-27,1.4455893090137092e-33
2024-11-01,0,1.0,1.1336026800649602e-34,5.098698832091943e-43
2024-12-01,0,1.0,6.751978533334149e-37,8.025883101830208e-48
2025-01-01,0,1.0,5.213923302704639e-41,1.716442626246041e-52
2025-02-01,0,1.0,7.228758073160957e-35,2.5735936663962586e-57
2025-03-01,0,1.0,7.038143455578122e-32,6.157535174829934e-49
2025-04-01,0,1.0,2.527095988296683e-37,9.54811790392001e-45
2025-05-01,0,1.0,7.914508763130604e-41,1.223878556557233e-53
2025-06-01,0,1.0,5.569930582524116e-40,2.1571613537048402e-57
2025-07-01,0,1.0,3.660957668223191e-37,1.6039068182951416e-55
2025-08-01,0,1.0,8.099332953641766e-26,1.224247866425615e-48
2025-09-01,0,1.0,7.464148659170445e-22,9.474925579045687e-36
2025-10-01,0,1.0,4.802420788624881e-18,4.558956041094834e-33
2025-11-01,0,1.0,1.370536652068076e-16,1.08632393913018e-27
2025-12-01,0,1.0,2.451659927609707e-18,4.3567620355304675e-30
2026-01-01,0,1.0,2.420398299388135e-24,3.6201450250738355e-34
2026-02-01,0,1.0,2.1372910006248657e-15,4.282184521263944e-35
2026-03-01,0,1.0,1.373694688534109e-21,2.5032454228628564e-35
2026-04-01,0,1.0,1.2423113177322337e-29,2.8509199849379224e-45
2026-05-01,0,1.0,4.1289952204110525e-36,1.7612212981288662e-53
